date,CPI
1/1/1980,77.8
1/2/1980,78.9
1/3/1980,80.1
1/4/1980,81
1/5/1980,81.8
1/6/1980,82.7
1/7/1980,82.7
1/8/1980,83.3
1/9/1980,84
1/10/1980,84.8
1/11/1980,85.5
1/12/1980,86.3
1/1/1981,87
1/2/1981,87.9
1/3/1981,88.5
1/4/1981,89.1
1/5/1981,89.8
1/6/1981,90.6
1/7/1981,91.6
1/8/1981,92.3
1/9/1981,93.2
1/10/1981,93.4
1/11/1981,93.7
1/12/1981,94
1/1/1982,94.3
1/2/1982,94.6
1/3/1982,94.5
1/4/1982,94.9
1/5/1982,95.8
1/6/1982,97
1/7/1982,97.5
1/8/1982,97.7
1/9/1982,97.9
1/10/1982,98.2
1/11/1982,98
1/12/1982,97.6
1/1/1983,97.8
1/2/1983,97.9
1/3/1983,97.9
1/4/1983,98.6
1/5/1983,99.2
1/6/1983,99.5
1/7/1983,99.9
1/8/1983,100.2
1/9/1983,100.7
1/10/1983,101
1/11/1983,101.2
1/12/1983,101.3
1/1/1984,101.9
1/2/1984,102.4
1/3/1984,102.6
1/4/1984,103.1
1/5/1984,103.4
1/6/1984,103.7
1/7/1984,104.1
1/8/1984,104.5
1/9/1984,105
1/10/1984,105.3
1/11/1984,105.3
1/12/1984,105.3
1/1/1985,105.5
1/2/1985,106
1/3/1985,106.4
1/4/1985,106.9
1/5/1985,107.3
1/6/1985,107.6
1/7/1985,107.8
1/8/1985,108
1/9/1985,108.3
1/10/1985,108.7
1/11/1985,109
1/12/1985,109.3
1/1/1986,109.6
1/2/1986,109.3
1/3/1986,108.8
1/4/1986,108.6
1/5/1986,108.9
1/6/1986,109.5
1/7/1986,109.5
1/8/1986,109.7
1/9/1986,110.2
1/10/1986,110.3
1/11/1986,110.4
1/12/1986,110.5
1/1/1987,111.2
1/2/1987,111.6
1/3/1987,112.1
1/4/1987,112.7
1/5/1987,113.1
1/6/1987,113.5
1/7/1987,113.8
1/8/1987,114.4
1/9/1987,115
1/10/1987,115.3
1/11/1987,115.4
1/12/1987,115.4
1/1/1988,115.7
1/2/1988,116
1/3/1988,116.5
1/4/1988,117.1
1/5/1988,117.5
1/6/1988,118
1/7/1988,118.5
1/8/1988,119
1/9/1988,119.8
1/10/1988,120.2
1/11/1988,120.3
1/12/1988,120.5
1/1/1989,121.1
1/2/1989,121.6
1/3/1989,122.3
1/4/1989,123.1
1/5/1989,123.8
1/6/1989,124.1
1/7/1989,124.4
1/8/1989,124.6
1/9/1989,125
1/10/1989,125.6
1/11/1989,125.9
1/12/1989,126.1
1/1/1990,127.4
1/2/1990,128
1/3/1990,128.7
1/4/1990,128.9
1/5/1990,129.2
1/6/1990,129.9
1/7/1990,130.4
1/8/1990,131.6
1/9/1990,132.7
1/10/1990,133.5
1/11/1990,133.8
1/12/1990,133.8
1/1/1991,134.6
1/2/1991,134.8
1/3/1991,135
1/4/1991,135.2
1/5/1991,135.6
1/6/1991,136
1/7/1991,136.2
1/8/1991,136.6
1/9/1991,137.2
1/10/1991,137.4
1/11/1991,137.8
1/12/1991,137.9
1/1/1992,138.1
1/2/1992,138.6
1/3/1992,139.3
1/4/1992,139.5
1/5/1992,139.7
1/6/1992,140.2
1/7/1992,140.5
1/8/1992,140.9
1/9/1992,141.3
1/10/1992,141.8
1/11/1992,142
1/12/1992,141.9
1/1/1993,142.6
1/2/1993,143.1
1/3/1993,143.6
1/4/1993,144
1/5/1993,144.2
1/6/1993,144.4
1/7/1993,144.4
1/8/1993,144.8
1/9/1993,145.1
1/10/1993,145.7
1/11/1993,145.8
1/12/1993,145.8
1/1/1994,146.2
1/2/1994,146.7
1/3/1994,147.2
1/4/1994,147.4
1/5/1994,147.5
1/6/1994,148
1/7/1994,148.4
1/8/1994,149
1/9/1994,149.4
1/10/1994,149.5
1/11/1994,149.7
1/12/1994,149.7
1/1/1995,150.3
1/2/1995,150.9
1/3/1995,151.4
1/4/1995,151.9
1/5/1995,152.2
1/6/1995,152.5
1/7/1995,152.5
1/8/1995,152.9
1/9/1995,153.2
1/10/1995,153.7
1/11/1995,153.6
1/12/1995,153.5
1/1/1996,154.4
1/2/1996,154.9
1/3/1996,155.7
1/4/1996,156.3
1/5/1996,156.6
1/6/1996,156.7
1/7/1996,157
1/8/1996,157.3
1/9/1996,157.8
1/10/1996,158.3
1/11/1996,158.6
1/12/1996,158.6
1/1/1997,159.1
1/2/1997,159.6
1/3/1997,160
1/4/1997,160.2
1/5/1997,160.1
1/6/1997,160.3
1/7/1997,160.5
1/8/1997,160.8
1/9/1997,161.2
1/10/1997,161.6
1/11/1997,161.5
1/12/1997,161.3
1/1/1998,161.6
1/2/1998,161.9
1/3/1998,162.2
1/4/1998,162.5
1/5/1998,162.8
1/6/1998,163
1/7/1998,163.2
1/8/1998,163.4
1/9/1998,163.6
1/10/1998,164
1/11/1998,164
1/12/1998,163.9
1/1/1999,164.3
1/2/1999,164.5
1/3/1999,165
1/4/1999,166.2
1/5/1999,166.2
1/6/1999,166.2
1/7/1999,166.7
1/8/1999,167.1
1/9/1999,167.9
1/10/1999,168.2
1/11/1999,168.3
1/12/1999,168.3
1/1/2000,168.8
1/2/2000,169.8
1/3/2000,171.2
1/4/2000,171.3
1/5/2000,171.5
1/6/2000,172.4
1/7/2000,172.8
1/8/2000,172.8
1/9/2000,173.7
1/10/2000,174
1/11/2000,174.1
1/12/2000,174
1/1/2001,175.1
1/2/2001,175.8
1/3/2001,176.2
1/4/2001,176.9
1/5/2001,177.7
1/6/2001,178
1/7/2001,177.5
1/8/2001,177.5
1/9/2001,178.3
1/10/2001,177.7
1/11/2001,177.4
1/12/2001,176.7
1/1/2002,177.1
1/2/2002,177.8
1/3/2002,178.8
1/4/2002,179.8
1/5/2002,179.8
1/6/2002,179.9
1/7/2002,180.1
1/8/2002,180.7
1/9/2002,181
1/10/2002,181.3
1/11/2002,181.3
1/12/2002,180.9
1/1/2003,181.7
1/2/2003,183.1
1/3/2003,184.2
1/4/2003,183.8
1/5/2003,183.5
1/6/2003,183.7
1/7/2003,183.9
1/8/2003,184.6
1/9/2003,185.2
1/10/2003,185
1/11/2003,184.5
1/12/2003,184.3
1/1/2004,185.2
1/2/2004,186.2
1/3/2004,187.4
1/4/2004,188
1/5/2004,189.1
1/6/2004,189.7
1/7/2004,189.4
1/8/2004,189.5
1/9/2004,189.9
1/10/2004,190.9
1/11/2004,191
1/12/2004,190.3
1/1/2005,190.7
1/2/2005,191.8
1/3/2005,193.3
1/4/2005,194.6
1/5/2005,194.4
1/6/2005,194.5
1/7/2005,195.4
1/8/2005,196.4
1/9/2005,198.8
1/10/2005,199.2
1/11/2005,197.6
1/12/2005,196.8
1/1/2006,198.3
1/2/2006,198.7
1/3/2006,199.8
1/4/2006,201.5
1/5/2006,202.5
1/6/2006,202.9
1/7/2006,203.5
1/8/2006,203.9
1/9/2006,202.9
1/10/2006,201.8
1/11/2006,201.5
1/12/2006,201.8
1/1/2007,202.416
1/2/2007,203.499
1/3/2007,205.352
1/4/2007,206.686
1/5/2007,207.949
1/6/2007,208.352
1/7/2007,208.299
1/8/2007,207.917
1/9/2007,208.49
1/10/2007,208.936
1/11/2007,210.177
1/12/2007,210.036
1/1/2008,211.08
1/2/2008,211.693
1/3/2008,213.528
1/4/2008,214.823
1/5/2008,216.632
1/6/2008,218.815
1/7/2008,219.964
1/8/2008,219.086
1/9/2008,218.783
1/10/2008,216.573
1/11/2008,212.425
1/12/2008,210.228
1/1/2009,211.143
1/2/2009,212.193
1/3/2009,212.709
1/4/2009,213.24
1/5/2009,213.856
1/6/2009,215.693
1/7/2009,215.351
1/8/2009,215.834
1/9/2009,215.969
1/10/2009,216.177
1/11/2009,216.33
1/12/2009,215.949
1/1/2010,216.687
1/2/2010,216.741
1/3/2010,217.631
1/4/2010,218.009
1/5/2010,218.178
1/6/2010,217.965
1/7/2010,218.011
1/8/2010,218.312
1/9/2010,218.439
1/10/2010,218.711
1/11/2010,218.803
1/12/2010,219.179
1/1/2011,220.223
1/2/2011,221.309
1/3/2011,223.467
1/4/2011,224.906
1/5/2011,225.964
1/6/2011,225.722
1/7/2011,225.922
1/8/2011,226.545
1/9/2011,226.889
1/10/2011,226.421
1/11/2011,226.23
1/12/2011,225.672
1/1/2012,226.665
1/2/2012,227.663
1/3/2012,229.392
1/4/2012,230.085
1/5/2012,229.815
1/6/2012,229.478
1/7/2012,229.104
1/8/2012,230.379
1/9/2012,231.407
1/10/2012,231.317
1/11/2012,230.221
1/12/2012,229.601
1/1/2013,230.28
1/2/2013,232.166
1/3/2013,232.773
1/4/2013,232.531
1/5/2013,232.945
1/6/2013,233.504
1/7/2013,233.596
1/8/2013,233.877
1/9/2013,234.149
1/10/2013,233.546
1/11/2013,233.069
1/12/2013,233.049
1/1/2014,233.916
1/2/2014,234.781
1/3/2014,236.293
1/4/2014,237.072
1/5/2014,237.9
1/6/2014,238.343
1/7/2014,238.25
1/8/2014,237.852
1/9/2014,238.031
1/10/2014,237.433
1/11/2014,236.151
1/12/2014,234.812
1/1/2015,233.707
1/2/2015,234.722
1/3/2015,236.119
1/4/2015,236.599
1/5/2015,237.805
1/6/2015,238.638
1/7/2015,238.654
1/8/2015,238.316
1/9/2015,237.945
1/10/2015,237.838
1/11/2015,237.336
1/12/2015,236.525
1/1/2016,236.916
1/2/2016,237.111
1/3/2016,238.132
1/4/2016,239.261
1/5/2016,240.229
1/6/2016,241.018
1/7/2016,240.628
1/8/2016,240.849
1/9/2016,241.428
1/10/2016,241.729
1/11/2016,241.353
1/12/2016,241.432
1/1/2017,242.839
1/2/2017,243.603
1/3/2017,243.801
1/4/2017,244.524
1/5/2017,244.733
1/6/2017,244.955
1/7/2017,244.786
1/8/2017,245.519
1/9/2017,246.819
1/10/2017,246.663
1/11/2017,246.669
1/12/2017,246.524
1/1/2018,247.867
1/2/2018,248.991
1/3/2018,249.554
1/4/2018,250.546
1/5/2018,251.588
1/6/2018,251.989
1/7/2018,252.006
1/8/2018,252.146
1/9/2018,252.439
1/10/2018,252.885
1/11/2018,252.038
1/12/2018,251.233
1/1/2019,251.712
1/2/2019,252.776
1/3/2019,254.202
1/4/2019,255.548
1/5/2019,256.092
1/6/2019,256.143
1/7/2019,256.571
1/8/2019,256.558
1/9/2019,256.759
1/10/2019,257.346
1/11/2019,257.208
1/12/2019,256.974
1/1/2020,257.971
1/2/2020,258.678
1/3/2020,258.115
1/4/2020,256.389
1/5/2020,256.394
1/6/2020,257.797
1/7/2020,259.101
1/8/2020,259.918
1/9/2020,260.28
1/10/2020,260.388
1/11/2020,260.229
1/12/2020,260.474
